Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,0.0008,-0.00075,-0.00075,29.55512238,11.750496,-24.771854,-11.035687,0.141372958
-1,-0.001,0.00085,0.001,32.11414337,-14.646155,-24.537443,14.653399,0.171863956
-1,-0.0003,0.0008,-0.001,28.60824585,-4.391227,-24.183872,-14.63862,0.135057793
-1,0.00015,-0.00035,0.00015,24.98779106,2.2094033,-24.79522,2.1691737,0.06485183
-1,-0.0006,0.00025,3.12E-19,26.11136246,-8.787069,-24.588423,-0.012011068,0.093678546
-1,0.00035,-0.00055,-0.0009,28.48917961,5.146661,-24.702814,-13.22559,0.128189177
-1,0.0007,0.001,-0.0004,26.8418808,10.258411,-24.105154,-5.8474903,0.112069096
-1,0.0009,1.00E-04,-0.0005,28.73855591,13.203376,-24.447254,-7.3421593,0.134373921
-1,0.00085,0.0002,-0.0002,27.60739136,12.468906,-24.454412,-2.9455183,0.119575643
-1,-0.0005,0.00035,0.0008,28.26988029,-7.322896,-24.664751,11.713726,0.125626452
-1,-0.00055,0.0005,0.0001,25.82686043,-8.054284,-24.495354,1.4604647,0.089881918
-1,0.0003,-0.00025,0.0002,25.30538177,4.4080763,-24.748688,2.9040656,0.074736652
-1,0.0002,0.0003,0.0007,26.81612968,2.9351587,-24.607643,10.244688,0.105195633
-1,-0.0009,0.0004,0.00055,29.08217239,-13.181673,-24.640913,8.052429,0.136623775
-1,-0.0002,-0.0008,-0.00015,25.23689842,-2.920584,-24.967026,-2.2402892,0.067860059
-1,-0.00045,-0.0003,-0.00055,26.83071709,-6.5884376,-24.719593,-8.088357,0.10434581
-1,0.00045,-0.001,0.0009,29.15286827,6.613054,-25.162922,13.152363,0.132527651
-1,0.0004,0.00015,-0.0008,27.72357178,5.872504,-24.421835,-11.733888,0.120817836
-1,-3.12E-19,-0.00015,-0.00035,25.18039894,0.009468621,-24.64763,-5.1523514,0.07378158
-1,0.0005,5.00E-05,0.0004,26.36314011,7.3373027,-24.638521,5.841446,0.097805983
-1,-0.00075,-0.0009,-5.00E-05,27.38698006,-10.987447,-25.074255,-0.77741945,0.10841792
-1,0.0006,0.0009,-0.00095,29.15662575,8.793775,-24.073856,-13.900642,0.142638649
-1,-5.00E-05,0.00055,-0.00025,24.66066933,-0.72716194,-24.375803,-3.6660786,0.066444554
-1,5.00E-05,-5.00E-05,0.00025,24.97270203,0.74098206,-24.69448,3.6427212,0.066774393
-1,-0.0001,-0.0005,0.0005,26.02124786,-1.4566299,-24.934685,7.296919,0.08671181
-1,-0.0007,-0.00095,-0.00085,29.75073051,-10.256193,-24.96942,-12.507777,0.142386651
-1,-0.00085,0.0007,-0.0007,29.18071556,-12.447814,-24.320562,-10.250677,0.141334488
-1,-0.00095,0.0006,-1.00E-04,28.17917633,-13.913003,-24.461048,-1.4667733,0.126558001
-1,-0.00035,-0.0007,-0.00045,26.26577568,-5.1210566,-24.892603,-6.635068,0.092133442
-1,0.00075,0.00065,5.00E-05,26.69510841,10.996496,-24.314087,0.7287299,0.10810892
-1,1.00E-04,-3.12E-19,0.00065,26.53778076,1.4717817,-24.732924,9.506321,0.099090406
-1,-0.00015,-0.00045,0.00045,25.85378838,-2.1898518,-24.910254,6.5652256,0.083680752
-1,0.00095,0.00095,0.00095,31.28420448,13.918479,-24.318777,13.913105,0.16529756
-1,-0.0008,-0.0001,0.00035,27.90743065,-11.718199,-24.807394,5.108982,0.119163304
